usage_minutes,complaints,contract_months,monthly_fee,contract_type,region,churn
147.0,2,21,81.5,month-to-month,Gyeonggi,1
125.0,0,26,73.4,one-year,Seoul,0
354.0,1,15,49.4,one-year,Other,0
482.0,1,26,58.1,one-year,Other,0
393.0,4,6,49.3,month-to-month,Gyeonggi,1
257.0,0,25,74.0,two-year,Seoul,0
230.0,1,31,41.0,month-to-month,Other,0
143.0,1,35,43.1,month-to-month,Gyeonggi,0
409.0,1,18,58.4,one-year,Seoul,0
391.0,2,24,61.4,month-to-month,Other,0
254.0,1,10,82.3,one-year,Seoul,1
257.0,1,16,50.7,one-year,Seoul,1
288.0,2,35,58.2,month-to-month,Gyeonggi,1
224.0,0,3,51.4,two-year,Seoul,0
254.0,2,29,35.8,two-year,Seoul,0
415.0,0,35,56.5,one-year,Gyeonggi,0
83.0,0,1,98.0,one-year,Seoul,1
329.0,2,18,70.1,month-to-month,Other,0
312.0,1,8,47.0,month-to-month,Seoul,0
292.0,1,18,67.7,month-to-month,Other,0
174.0,2,6,52.3,month-to-month,Other,1
458.0,1,11,55.0,two-year,Gyeonggi,0
279.0,3,11,45.2,two-year,Other,0
251.0,1,28,69.0,one-year,Seoul,0
22.0,0,6,91.8,month-to-month,Seoul,0
180.0,3,29,34.4,one-year,Gyeonggi,1
342.0,4,14,63.7,month-to-month,Gyeonggi,1
177.0,2,16,84.3,two-year,Gyeonggi,0
433.0,0,20,82.4,two-year,Seoul,0
340.0,2,19,66.6,one-year,Gyeonggi,0
223.0,0,11,45.6,month-to-month,Seoul,1
194.0,3,2,62.6,month-to-month,Gyeonggi,1
431.0,2,4,79.7,month-to-month,Seoul,1
353.0,1,29,66.8,two-year,Seoul,0
272.0,2,5,43.2,one-year,Other,0
437.0,2,9,46.7,one-year,Gyeonggi,0
283.0,2,13,56.7,month-to-month,Other,1
106.0,1,1,22.5,two-year,Seoul,0
507.0,2,14,71.6,two-year,Seoul,1
233.0,1,29,72.4,one-year,Gyeonggi,0
187.0,1,27,44.9,two-year,Gyeonggi,0
391.0,0,4,58.2,month-to-month,Gyeonggi,1
235.0,3,12,57.0,one-year,Other,0
82.0,0,30,71.9,month-to-month,Gyeonggi,1
242.0,0,13,45.2,one-year,Seoul,0
468.0,2,2,68.1,two-year,Seoul,1
325.0,0,11,36.1,month-to-month,Other,0
265.0,1,27,49.3,one-year,Seoul,0
266.0,0,31,63.2,two-year,Gyeonggi,0
317.0,0,7,70.1,month-to-month,Seoul,0
375.0,2,26,52.4,one-year,Other,1
434.0,0,26,91.3,two-year,Gyeonggi,0
401.0,0,22,60.4,one-year,Seoul,0
309.0,0,19,69.1,month-to-month,Gyeonggi,1
360.0,2,8,82.6,month-to-month,Other,1
397.0,2,18,90.1,month-to-month,Other,1
89.0,1,31,92.1,month-to-month,Seoul,1
229.0,1,17,45.1,one-year,Gyeonggi,0
108.0,3,23,60.8,month-to-month,Other,0
457.0,0,27,61.5,month-to-month,Other,1
296.0,1,3,67.6,two-year,Seoul,1
170.0,1,19,66.5,month-to-month,Seoul,0
373.0,0,3,54.5,month-to-month,Seoul,0
384.0,1,27,72.6,month-to-month,Seoul,1
299.0,1,8,26.3,month-to-month,Other,0
251.0,1,12,97.4,two-year,Gyeonggi,0
402.0,0,30,65.7,month-to-month,Other,0
250.0,2,12,67.2,one-year,Seoul,0
380.0,0,31,72.9,month-to-month,Seoul,0
284.0,1,19,70.9,two-year,Other,1
245.0,0,36,64.8,month-to-month,Other,0
297.0,1,22,86.0,two-year,Seoul,0
326.0,1,28,76.0,one-year,Gyeonggi,0
370.0,0,20,31.5,month-to-month,Seoul,0
382.0,1,16,32.0,one-year,Seoul,0
181.0,2,6,67.4,month-to-month,Other,0
383.0,3,26,76.3,one-year,Gyeonggi,1
129.0,0,20,36.0,one-year,Seoul,0
322.0,2,20,69.0,two-year,Other,0
162.0,0,4,44.8,month-to-month,Gyeonggi,0
447.0,1,36,26.9,month-to-month,Gyeonggi,0
383.0,1,14,,month-to-month,Seoul,0
433.0,0,7,53.2,one-year,Gyeonggi,0
300.0,0,2,75.2,one-year,Other,0
122.0,1,24,68.8,one-year,Gyeonggi,1
379.0,1,2,78.8,one-year,Seoul,1
277.0,0,12,91.1,two-year,Gyeonggi,0
463.0,1,9,101.0,month-to-month,Gyeonggi,0
379.0,0,14,,month-to-month,Seoul,0
178.0,0,25,94.5,two-year,Other,0
160.0,2,35,59.3,two-year,Gyeonggi,1
145.0,1,16,60.2,two-year,Other,0
319.0,0,16,70.2,one-year,Seoul,0
424.0,0,8,87.0,month-to-month,Gyeonggi,1
171.0,0,26,108.2,month-to-month,Other,0
577.0,0,30,86.2,one-year,Seoul,0
315.0,0,7,66.0,one-year,Seoul,0
531.0,0,16,49.5,month-to-month,Other,0
304.0,0,35,74.0,one-year,Gyeonggi,0
309.0,0,36,73.6,two-year,Seoul,0
341.0,1,4,38.9,two-year,Gyeonggi,0
180.0,1,25,64.1,month-to-month,Seoul,0
111.0,0,31,73.7,two-year,Seoul,0
153.0,1,7,81.5,two-year,Seoul,0
322.0,2,9,84.5,month-to-month,Seoul,0
328.0,1,26,74.2,month-to-month,Seoul,1
147.0,1,7,70.5,month-to-month,Gyeonggi,1
290.0,1,32,51.2,two-year,Seoul,1
307.0,0,23,,month-to-month,Gyeonggi,0
155.0,1,7,18.0,one-year,Gyeonggi,0
310.0,1,8,69.2,two-year,Seoul,0
251.0,0,9,59.6,month-to-month,Seoul,0
257.0,1,24,55.1,month-to-month,Seoul,0
455.0,2,15,82.1,two-year,Seoul,0
27.0,1,22,64.6,month-to-month,Gyeonggi,0
340.0,0,21,76.9,month-to-month,Gyeonggi,1
377.0,3,10,70.2,one-year,Gyeonggi,1
125.0,1,28,64.5,month-to-month,Gyeonggi,1
209.0,1,6,55.5,month-to-month,Gyeonggi,0
171.0,0,11,37.0,month-to-month,Seoul,0
154.0,0,20,75.7,one-year,Other,0
168.0,0,10,90.3,one-year,Other,0
366.0,1,24,59.9,month-to-month,Seoul,1
331.0,3,34,68.8,month-to-month,Seoul,0
191.0,1,1,,month-to-month,Seoul,1
514.0,1,33,,month-to-month,Gyeonggi,1
181.0,0,11,98.9,month-to-month,Other,0
400.0,0,5,64.5,one-year,Other,0
313.0,0,13,79.4,one-year,Gyeonggi,0
541.0,3,18,92.6,month-to-month,Seoul,0
449.0,1,1,56.8,one-year,Other,0
242.0,1,3,70.5,one-year,Seoul,0
201.0,1,3,69.1,two-year,Other,0
335.0,2,30,64.6,month-to-month,Gyeonggi,0
147.0,1,13,74.9,month-to-month,Seoul,0
460.0,1,14,73.0,one-year,Seoul,0
341.0,1,13,80.6,one-year,Other,0
87.0,1,11,54.1,one-year,Seoul,0
294.0,0,27,78.0,one-year,Gyeonggi,0
311.0,4,12,65.3,month-to-month,Gyeonggi,1
549.0,1,21,52.0,two-year,Seoul,1
175.0,0,17,41.8,month-to-month,Seoul,0
356.0,0,4,91.5,one-year,Seoul,1
285.0,0,21,69.7,one-year,Other,0
215.0,2,36,60.2,month-to-month,Seoul,1
318.0,0,32,72.5,one-year,Seoul,0
472.0,0,32,98.9,month-to-month,Seoul,0
279.0,0,8,72.1,month-to-month,Gyeonggi,0
388.0,1,1,60.6,month-to-month,Seoul,1
217.0,2,6,58.3,month-to-month,Other,1
158.0,0,4,26.2,one-year,Gyeonggi,0
381.0,0,15,59.1,one-year,Gyeonggi,0
97.0,1,25,53.9,month-to-month,Other,0
389.0,1,4,44.1,month-to-month,Seoul,1
50.0,1,33,84.4,two-year,Seoul,0
216.0,1,10,,one-year,Seoul,0
153.0,1,8,56.0,two-year,Other,0
295.0,0,6,84.8,month-to-month,Gyeonggi,1
352.0,0,14,62.6,two-year,Gyeonggi,0
342.0,0,16,53.0,two-year,Seoul,0
94.0,2,27,63.2,two-year,Gyeonggi,1
227.0,0,34,92.2,one-year,Seoul,1
140.0,3,36,67.2,month-to-month,Gyeonggi,1
363.0,0,33,65.5,month-to-month,Other,0
535.0,0,23,63.6,two-year,Gyeonggi,0
115.0,1,17,61.9,one-year,Other,0
146.0,1,1,77.2,month-to-month,Gyeonggi,1
73.0,0,28,46.6,month-to-month,Other,0
497.0,0,26,69.7,month-to-month,Gyeonggi,0
367.0,1,35,73.1,month-to-month,Gyeonggi,0
102.0,0,10,71.8,one-year,Gyeonggi,1
175.0,0,16,71.8,one-year,Seoul,0
242.0,3,32,55.2,month-to-month,Other,0
500.0,1,18,54.3,one-year,Gyeonggi,0
370.0,1,4,61.4,month-to-month,Gyeonggi,0
211.0,0,23,49.2,month-to-month,Other,0
288.0,1,28,67.2,two-year,Other,0
224.0,1,30,54.9,month-to-month,Seoul,0
338.0,1,19,49.3,month-to-month,Seoul,0
163.0,0,18,39.8,month-to-month,Seoul,0
286.0,1,13,66.7,month-to-month,Seoul,0
282.0,1,3,79.6,month-to-month,Other,0
366.0,0,16,51.1,month-to-month,Seoul,0
128.0,3,13,96.1,two-year,Gyeonggi,0
246.0,0,26,84.8,month-to-month,Seoul,0
222.0,0,6,76.6,month-to-month,Seoul,0
268.0,0,12,52.7,two-year,Seoul,1
32.0,2,4,18.0,month-to-month,Gyeonggi,0
255.0,3,36,42.8,month-to-month,Other,0
389.0,1,10,27.2,month-to-month,Seoul,0
293.0,0,6,79.4,month-to-month,Other,0
318.0,1,36,80.8,one-year,Seoul,0
344.0,0,24,67.0,month-to-month,Seoul,0
305.0,0,30,71.3,two-year,Seoul,0
430.0,2,13,70.4,month-to-month,Gyeonggi,1
365.0,2,21,70.7,one-year,Seoul,1
296.0,0,14,43.7,one-year,Seoul,0
320.0,0,7,54.5,month-to-month,Seoul,1
356.0,1,3,71.9,one-year,Gyeonggi,0
270.0,1,28,41.7,month-to-month,Gyeonggi,0
369.0,1,36,74.6,month-to-month,Other,0
166.0,0,32,57.8,one-year,Gyeonggi,0
226.0,0,21,66.0,month-to-month,Other,1
101.0,1,23,74.7,one-year,Seoul,0
242.0,0,22,29.6,one-year,Other,0
363.0,2,4,30.4,one-year,Seoul,0
363.0,3,13,70.4,one-year,Seoul,1
348.0,1,12,,month-to-month,Other,1
480.0,1,4,64.0,month-to-month,Gyeonggi,1
493.0,3,1,47.5,one-year,Seoul,1
363.0,1,7,29.5,month-to-month,Gyeonggi,1
257.0,2,12,95.2,month-to-month,Seoul,1
340.0,0,3,74.4,month-to-month,Seoul,1
142.0,0,30,50.7,month-to-month,Gyeonggi,0
279.0,1,26,67.3,one-year,Gyeonggi,0
450.0,2,33,51.5,one-year,Other,0
138.0,1,11,69.2,two-year,Gyeonggi,0
300.0,0,16,74.8,month-to-month,Other,1
192.0,1,26,43.9,month-to-month,Gyeonggi,1
532.0,0,6,82.9,one-year,Seoul,0
341.0,0,27,102.5,month-to-month,Other,1
212.0,1,2,,month-to-month,Seoul,1
329.0,2,19,103.2,month-to-month,Other,1
247.0,0,17,89.6,two-year,Seoul,0
477.0,0,12,78.2,one-year,Seoul,0
146.0,1,25,73.7,month-to-month,Seoul,1
165.0,3,33,43.6,two-year,Seoul,1
352.0,0,20,86.1,month-to-month,Gyeonggi,0
97.0,2,9,72.5,one-year,Seoul,1
332.0,0,24,30.1,month-to-month,Other,0
225.0,2,12,49.1,two-year,Gyeonggi,0
387.0,0,21,78.2,two-year,Other,0
325.0,0,23,72.8,two-year,Gyeonggi,0
272.0,0,3,64.6,one-year,Gyeonggi,1
195.0,1,3,91.4,month-to-month,Seoul,1
326.0,3,15,64.3,month-to-month,Seoul,1
242.0,3,18,30.7,one-year,Gyeonggi,0
382.0,1,23,65.2,month-to-month,Seoul,1
163.0,1,6,,one-year,Gyeonggi,1
478.0,1,19,29.8,one-year,Seoul,0
404.0,1,36,30.8,month-to-month,Gyeonggi,1
159.0,2,20,62.3,month-to-month,Seoul,0
312.0,0,11,85.3,month-to-month,Seoul,1
263.0,1,18,53.0,two-year,Other,1
410.0,2,19,101.1,one-year,Gyeonggi,0
270.0,2,36,55.2,month-to-month,Seoul,0
301.0,3,14,68.9,month-to-month,Seoul,1
206.0,0,5,82.6,month-to-month,Seoul,0
429.0,2,28,65.8,one-year,Seoul,0
271.0,0,26,66.2,one-year,Seoul,0
370.0,0,11,44.3,one-year,Gyeonggi,0
449.0,3,9,74.2,month-to-month,Other,1
371.0,2,17,54.4,month-to-month,Gyeonggi,1
244.0,1,17,46.5,month-to-month,Other,1
341.0,1,33,78.0,month-to-month,Gyeonggi,0
355.0,0,26,48.4,one-year,Seoul,0
349.0,0,5,62.3,month-to-month,Seoul,0
245.0,0,27,51.0,one-year,Seoul,0
220.0,0,20,78.8,two-year,Gyeonggi,0
289.0,1,21,76.7,one-year,Other,0
276.0,0,29,102.1,month-to-month,Gyeonggi,0
328.0,3,18,72.2,one-year,Other,0
130.0,4,9,98.9,one-year,Gyeonggi,1
269.0,0,27,49.0,month-to-month,Seoul,0
175.0,1,28,66.2,two-year,Seoul,0
87.0,0,24,94.6,month-to-month,Seoul,0
333.0,0,32,70.9,month-to-month,Seoul,0
145.0,1,2,81.2,month-to-month,Seoul,1
198.0,2,21,63.0,one-year,Other,0
253.0,0,33,,month-to-month,Seoul,1
257.0,2,25,34.8,month-to-month,Seoul,1
332.0,2,22,61.6,month-to-month,Other,1
87.0,1,27,34.3,month-to-month,Seoul,0
331.0,0,34,78.5,two-year,Gyeonggi,0
214.0,2,29,70.4,month-to-month,Gyeonggi,1
311.0,0,19,58.4,month-to-month,Gyeonggi,1
379.0,0,36,52.9,month-to-month,Gyeonggi,0
438.0,0,33,80.8,one-year,Gyeonggi,0
283.0,2,9,,month-to-month,Other,1
302.0,2,29,92.5,two-year,Gyeonggi,0
334.0,1,8,75.5,month-to-month,Seoul,1
176.0,1,23,69.5,two-year,Seoul,0
213.0,1,17,63.8,month-to-month,Gyeonggi,0
165.0,1,31,68.2,one-year,Gyeonggi,0
325.0,5,28,42.7,month-to-month,Seoul,1
170.0,0,30,58.1,one-year,Gyeonggi,0
544.0,0,30,89.1,two-year,Seoul,0
245.0,1,34,67.9,month-to-month,Other,0
177.0,1,19,101.2,two-year,Gyeonggi,0
456.0,1,22,34.0,month-to-month,Seoul,0
20.0,1,18,59.1,month-to-month,Gyeonggi,1
447.0,2,14,89.0,one-year,Other,0
306.0,3,36,66.4,one-year,Gyeonggi,0
348.0,0,32,44.1,month-to-month,Other,0
490.0,0,35,99.1,month-to-month,Seoul,0
201.0,3,35,70.8,one-year,Other,1
464.0,1,10,97.2,month-to-month,Seoul,0
378.0,4,11,71.1,month-to-month,Other,1
230.0,2,9,59.2,month-to-month,Gyeonggi,1
306.0,2,25,,month-to-month,Seoul,1
484.0,3,29,86.1,one-year,Seoul,1
230.0,0,22,56.3,month-to-month,Gyeonggi,0
298.0,0,12,79.4,one-year,Seoul,0
336.0,3,28,73.8,month-to-month,Gyeonggi,0
321.0,0,19,110.6,month-to-month,Other,0
369.0,2,26,76.9,one-year,Seoul,1
177.0,0,14,106.0,month-to-month,Other,1
87.0,2,25,78.7,month-to-month,Seoul,0
415.0,0,30,67.1,one-year,Seoul,0
371.0,1,2,56.1,two-year,Gyeonggi,0
245.0,0,9,63.0,month-to-month,Gyeonggi,0
154.0,0,18,46.5,month-to-month,Seoul,0
408.0,0,23,62.7,one-year,Gyeonggi,0
405.0,0,30,72.4,one-year,Other,1
264.0,2,25,51.3,month-to-month,Seoul,0
111.0,0,7,60.7,month-to-month,Other,0
265.0,3,29,51.0,month-to-month,Gyeonggi,1
335.0,0,6,74.2,month-to-month,Other,0
229.0,0,24,68.4,month-to-month,Gyeonggi,0
342.0,2,1,94.8,one-year,Other,0
443.0,1,3,54.1,month-to-month,Gyeonggi,1
227.0,2,9,43.2,two-year,Seoul,1
345.0,1,21,62.4,month-to-month,Other,0
177.0,2,30,104.6,one-year,Seoul,1
418.0,0,14,77.2,month-to-month,Other,0
392.0,0,19,42.4,month-to-month,Other,1
432.0,3,32,63.4,month-to-month,Other,0
452.0,1,24,46.6,month-to-month,Gyeonggi,0
442.0,2,31,51.6,month-to-month,Seoul,1
240.0,0,16,93.8,month-to-month,Seoul,1
466.0,2,27,88.7,one-year,Seoul,0
296.0,1,1,94.1,month-to-month,Other,1
401.0,1,30,63.2,month-to-month,Gyeonggi,0
279.0,2,15,67.0,month-to-month,Gyeonggi,0
279.0,1,21,36.6,month-to-month,Gyeonggi,0
369.0,4,3,53.0,month-to-month,Seoul,1
303.0,3,18,69.7,month-to-month,Seoul,0
381.0,1,30,46.7,month-to-month,Gyeonggi,0
141.0,2,16,30.6,two-year,Other,0
308.0,0,8,78.1,month-to-month,Gyeonggi,0
401.0,0,24,70.2,two-year,Other,0
232.0,1,20,60.4,two-year,Other,0
88.0,0,26,91.8,month-to-month,Other,1
