date,temperature_c,promotion,weekend,foot_traffic,sales_10k_krw
2026-02-16,15.7,0,0,138,105.6
2026-02-17,30.3,1,0,166,110.9
2026-02-18,18.1,0,0,111,84.0
2026-02-19,16.1,1,0,172,113.3
2026-02-20,9.2,1,0,152,95.0
2026-02-21,8.0,0,1,151,106.7
2026-02-22,17.1,0,1,204,127.2
2026-02-23,14.9,0,0,130,74.7
2026-02-24,16.3,0,0,142,93.1
2026-02-25,9.9,0,0,128,81.6
2026-02-26,6.7,0,0,80,70.2
2026-02-27,16.8,0,0,133,92.5
2026-02-28,19.3,1,1,175,116.9
2026-03-01,0.8,1,1,158,107.2
2026-03-02,9.0,1,0,145,99.6
2026-03-03,20.9,1,0,204,126.1
2026-03-04,6.3,1,0,108,79.1
2026-03-05,25.1,0,0,123,84.1
2026-03-06,14.0,0,0,171,94.5
2026-03-07,27.9,0,1,163,93.7
2026-03-08,15.6,0,1,135,110.8
2026-03-09,27.0,1,0,184,114.1
2026-03-10,26.6,0,0,129,83.1
2026-03-11,28.5,1,0,150,97.5
2026-03-12,24.0,1,0,141,95.5
2026-03-13,20.3,1,0,155,109.5
2026-03-14,11.8,1,1,179,119.5
2026-03-15,12.8,1,1,191,132.8
2026-03-16,19.0,0,0,122,81.9
2026-03-17,27.4,0,0,145,80.1
2026-03-18,12.5,0,0,157,104.4
2026-03-19,-5.0,1,0,149,107.6
2026-03-20,27.6,1,0,221,142.9
2026-03-21,8.5,1,1,160,89.8
2026-03-22,5.2,1,1,177,120.9
2026-03-23,27.0,0,0,177,109.6
2026-03-24,15.7,1,0,191,111.6
2026-03-25,24.6,1,0,186,111.3
2026-03-26,7.9,0,0,124,93.6
2026-03-27,7.4,0,0,116,83.7
2026-03-28,25.6,1,1,211,133.6
2026-03-29,9.9,0,1,152,100.9
2026-03-30,20.1,0,0,160,117.8
2026-03-31,14.0,1,0,154,101.3
2026-04-01,24.5,0,0,150,102.5
2026-04-02,16.9,1,0,178,122.5
2026-04-03,3.8,0,0,111,82.1
2026-04-04,20.0,1,1,198,139.1
2026-04-05,10.7,1,1,186,124.1
2026-04-06,17.4,1,0,188,123.9
2026-04-07,10.2,0,0,112,84.6
2026-04-08,11.9,0,0,107,92.3
2026-04-09,9.7,0,0,76,62.7
2026-04-10,12.4,1,0,141,88.8
2026-04-11,13.4,1,1,206,140.2
2026-04-12,23.0,1,1,199,137.5
2026-04-13,7.0,1,0,137,103.6
2026-04-14,15.1,1,0,155,102.7
2026-04-15,20.1,1,0,195,130.0
2026-04-16,5.7,1,0,147,104.4
2026-04-17,16.8,0,0,142,96.3
2026-04-18,18.4,0,1,139,99.6
2026-04-19,17.7,1,1,224,128.6
2026-04-20,13.0,1,0,164,124.3
2026-04-21,16.6,1,0,155,114.1
2026-04-22,18.7,0,0,140,93.9
2026-04-23,12.6,1,0,152,101.7
2026-04-24,16.9,1,0,157,95.8
2026-04-25,15.3,1,1,210,139.7
2026-04-26,25.7,0,1,152,104.5
2026-04-27,25.3,1,0,140,105.7
2026-04-28,19.5,1,0,170,118.8
2026-04-29,23.1,1,0,204,140.4
2026-04-30,13.1,1,0,171,99.7
2026-05-01,19.0,0,0,141,85.1
2026-05-02,15.8,1,1,199,131.5
2026-05-03,25.9,1,1,182,120.7
2026-05-04,24.7,0,0,159,106.4
2026-05-05,15.3,0,0,114,88.4
2026-05-06,20.7,1,0,177,114.9
2026-05-07,13.2,1,0,156,106.1
2026-05-08,12.8,0,0,100,62.6
2026-05-09,28.7,0,1,178,115.7
2026-05-10,8.2,1,1,157,113.1
2026-05-11,35.0,1,0,200,109.5
2026-05-12,15.9,0,0,154,98.2
2026-05-13,28.5,1,0,203,136.2
2026-05-14,23.8,0,0,159,109.2
2026-05-15,19.1,1,0,157,106.0
2026-05-16,28.5,1,1,194,122.2
2026-05-17,20.3,1,1,163,123.4
2026-05-18,14.9,0,0,109,73.5
2026-05-19,22.6,0,0,134,96.1
2026-05-20,26.1,0,0,160,102.9
2026-05-21,7.9,0,0,141,90.4
2026-05-22,20.3,0,0,104,78.7
2026-05-23,-0.8,0,1,143,100.1
2026-05-24,2.6,0,1,105,80.9
2026-05-25,15.0,1,0,124,86.2
2026-05-26,15.6,0,0,132,79.6
2026-05-27,24.7,1,0,185,129.8
2026-05-28,25.3,1,0,208,115.0
2026-05-29,20.4,1,0,193,113.9
2026-05-30,17.3,0,1,167,99.8
2026-05-31,18.2,1,1,213,142.9
2026-06-01,13.9,1,0,140,98.7
2026-06-02,2.2,1,0,152,109.0
2026-06-03,16.5,1,0,165,109.9
2026-06-04,19.2,0,0,147,88.1
2026-06-05,13.5,0,0,113,75.1
2026-06-06,2.4,1,1,176,128.3
2026-06-07,0.7,1,1,138,99.1
2026-06-08,19.0,1,0,146,95.4
2026-06-09,26.9,0,0,172,95.9
2026-06-10,7.8,0,0,102,89.1
2026-06-11,11.7,0,0,116,76.7
2026-06-12,12.9,1,0,134,103.3
2026-06-13,4.5,0,1,109,88.3
2026-06-14,9.8,1,1,185,131.8
2026-06-15,14.3,0,0,143,91.3
2026-06-16,18.4,1,0,163,108.5
2026-06-17,26.8,0,0,184,102.5
2026-06-18,15.1,0,0,154,109.5
2026-06-19,13.3,1,0,155,107.8
2026-06-20,23.1,0,1,195,123.5
2026-06-21,27.4,1,1,201,132.5
2026-06-22,8.6,0,0,119,88.6
2026-06-23,8.3,0,0,87,76.5
2026-06-24,34.1,1,0,194,111.7
2026-06-25,8.8,0,0,119,68.9
2026-06-26,15.7,0,0,136,102.6
2026-06-27,14.1,1,1,154,120.7
2026-06-28,22.2,0,1,164,103.0
2026-06-29,30.5,1,0,205,138.4
2026-06-30,16.2,1,0,161,103.1
2026-07-01,4.6,1,0,154,118.3
2026-07-02,30.4,1,0,158,117.1
2026-07-03,15.6,0,0,112,83.5
2026-07-04,31.8,1,1,211,138.5
2026-07-05,13.7,0,1,150,115.2
2026-07-06,29.2,0,0,147,86.3
2026-07-07,17.4,0,0,86,74.7
2026-07-08,18.3,1,0,155,98.3
2026-07-09,19.2,1,0,177,127.7
2026-07-10,4.6,1,0,137,107.7
2026-07-11,23.1,1,1,203,147.2
2026-07-12,17.1,0,1,177,122.2
2026-07-13,12.2,1,0,173,107.4
2026-07-14,13.1,1,0,170,129.5
2026-07-15,20.5,1,0,159,106.5
2026-07-16,13.0,1,0,166,111.1
2026-07-17,24.1,0,0,141,100.7
2026-07-18,14.3,0,1,126,104.2
2026-07-19,23.8,0,1,192,125.3
2026-07-20,17.5,0,0,113,87.7
2026-07-21,20.9,1,0,175,118.6
2026-07-22,20.1,1,0,175,107.9
2026-07-23,12.1,1,0,181,126.5
2026-07-24,8.2,0,0,129,88.0
2026-07-25,35.0,1,1,229,140.4
2026-07-26,16.2,1,1,197,131.7
2026-07-27,14.8,1,0,149,88.9
2026-07-28,6.0,1,0,130,84.1
2026-07-29,13.9,1,0,183,107.5
2026-07-30,18.9,1,0,169,120.4
2026-07-31,4.2,0,0,88,84.8
2026-08-01,11.7,0,1,150,113.0
2026-08-02,20.6,0,1,146,110.9
2026-08-03,18.7,1,0,192,109.6
2026-08-04,10.0,0,0,74,76.7
2026-08-05,15.2,0,0,131,82.5
2026-08-06,13.0,1,0,148,105.0
2026-08-07,19.4,1,0,167,108.8
2026-08-08,23.9,1,1,146,109.7
2026-08-09,21.8,0,1,172,109.0
2026-08-10,21.0,0,0,129,88.1
2026-08-11,13.0,1,0,159,115.1
2026-08-12,8.3,1,0,158,105.5
2026-08-13,15.0,0,0,122,87.9
2026-08-14,13.2,0,0,122,93.9
2026-08-15,10.3,1,1,115,89.7
2026-08-16,23.9,0,1,175,115.8
2026-08-17,15.2,0,0,101,80.1
2026-08-18,26.9,1,0,193,132.4
2026-08-19,3.6,0,0,78,59.5
2026-08-20,19.4,1,0,163,109.4
2026-08-21,30.9,0,0,193,116.0
2026-08-22,14.6,1,1,174,123.6
2026-08-23,17.4,0,1,129,83.7
2026-08-24,9.0,1,0,138,101.3
2026-08-25,18.2,1,0,162,110.6
2026-08-26,16.1,0,0,102,77.5
2026-08-27,4.8,0,0,93,69.9
2026-08-28,9.8,0,0,93,76.3
