순번,ID,주소,음식분류,업소명,전화번호,영업시간,좌석수,주차,홈페이지,가능언어,예약가능,영유아시설,조식여부,디저트여부,메뉴,업소소개,지하철정보,버스정보
16,1859,대구광역시 중구 삼덕동3가 326-1,일식,몬도카츠,0507-1311-4592,11:30 ~ 20:30 (브레이크 타임 15:00 ~ 16:30),16석,없음,app.catchtable.co.kr/ct/shop/mondokatsu?from=share&amp;type=WAITING,가능한 외국어가 없습니다.,불가능,불가능,불가능,불가능,"특로스카츠 16,000원<br />로스카츠 14,000원<br />히레카츠 15,000원<br />모듬카츠 18,000원<br />에비모듬카츠 16,000원",몬도카츠는 일본식 돈카츠의 정수를 보여주는 곳입니다. <br />,지하철 2호선 경대역 4번 출구에서 도보로 약 489m 거리.,버스 정류장은 방천시장(김광석길)건너 정류장이 가장 가깝습니다.
17,1816,대구광역시 중구 삼덕동2가 149-6,한식,장모님국밥,053-425-9347,09:00 ~ 21:00,40석(룸1),없음,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"[저염메뉴] 순대국밥 9,000원 <br />돼지국밥 9,000원<br />섞어국밥 9,000원<br />수육 25,000원 ~ 30,000원 <br />순대한접시 12,000원",장모님국밥은 대구에서 유일한 특별한 돼지국밥을 제공하는 전문점입니다.,지하철 2호선 경대병원역 1번 출구에서 도보로 약 123m 거리.,버스 정류장은 경북대학교병원앞 정류장이 가장 가깝습니다.
18,1810,대구광역시 중구 동인동4가 4,한식,춘천옥,053-422-3333,09:00 ~ 19:30,40석(룸1),없음(인근유료주차장이용),없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"곰탕/양곰탕 11,000원<br />냉면 9,000원<br />갈비탕 11,000원 <br />막국수 9,000원<br />소갈비찜 30,000원 ~ 70,000원","춘천옥 은 곰탕, 양곰탕, 냉면, 갈비탕 등 다양한 국물과 면 요리를 맛볼 수 있는 한식당입니다.",지하철 1호선 칠성시장역 3번 출구에서 도보로 약 862m 거리.,버스 정류장은 중구청앞 정류장이 가장 가깝습니다.
19,1807,대구광역시 중구 대봉동 17-10,한식,청해회수산,053-422-6921,16:00 ~ 00:00,30석,없음,없음,영어 ,불가,불가능,불가능,불가능,"모듬회 30,000원 ~ 60,000원 <br />세꼬시(도다리) 33,000원 ~ 63,000원 <br />회물회 11,000원<br />",청해회수산 은 매일 산지 직송 받는 맛있고 신선한 회를 합리적인 가격에 푸짐하게 드실 수 있는 회.해산물.세꼬시 전문점입니다.,지하철 2호선 경대병원역 3번 출구에서 도보로 약 397m 거리.,버스 정류장은 방천시장(김광석길)앞 정류장이 가장 가깝습니다.
20,1806,대구광역시 중구 삼덕동3가 284,특별한 술집,유랑,053-253-0660,18:00 ~ 01:00 (금-일 17:00 ~ 02:00),20석,없음,app.catchtable.co.kr/ct/shop/cave_urang?from=share,영어 일본어 중국어 ,가능,불가능,불가능,불가능,"네츄럴 스테이크 28,000원 <br />일그라파 파스타 17,000원 <br />한우비프타르타르 19,000원 <br />구운볼락리조또 15,000원<br />",삼덕동에 위치한  까브유랑 은 가성비 좋은 와인이 많은 분위기 좋은 와인바입니다.,지하철 2호선 경대병원역 4번 출구에서 도보로 약 454m 거리.,버스 정류장은 방천시장(김광석길)건너 정류장이 가장 가깝습니다.
21,1805,대구광역시 중구 동인동3가 220-3,특별한 술집,와리바시,053-422-3888,"18:00 ~ 02:00 (금,토 18:00~02:00)",10석,없음,app.catchtable.co.kr/ct/shop/waribasibar,영어 ,가능,불가능,불가능,불가능,"닭육수오뎅탕 23,000원 <br />오코노미야키 16,000원 <br />철판야키소바 17,000원 <br />명란김말이튀김 14,000원 <br />모듬 야키토리 13,000원<br />",동인동 작은 골목 안에 위치한 와리바시 는 일식 요리와 사케를 즐길 수 있는 공간입니다.,주변에 가까운 지하철역이 없습니다.,버스 정류장은 동인초등학교건너 정류장이 가장 가깝습니다.
22,1792,대구광역시 중구 공평동 1-5,양식,로니스도우,010-****-6176,11:00 ~ 24:00  (브레이크타임 15:00~17:00),49석,없음,www.instagram.com/ronnies_dough,가능한 외국어가 없습니다.,평일 가능,불가능,불가능,불가능,"half&amp;half 24,000원 ~ 30,000원<br />페퍼로니 23,000원 ~ 29,000원<br />하와이안 23,000원 ~ 29,000원<br />핫치킨 23,000원 ~ 39,000원<br />",Simple is the best. The original pizza! 기본에 충실하며 모두가 좋아할 수 있는 베이직한 오리지널 피자!<br />,지하철 1호선 중앙로역 3번 출구에서 도보로 약 461m 거리.,버스 정류장은 2.28기념중앙공원건너2 정류장이 가장 가깝습니다.
23,1791,대구광역시 중구 동문동 4-9,세계요리,야자수지붕,053-256-3723,11:30 ~ 20:30 (토요일 11:30~15:00),24석,없음,www.facebook.com/profile.php?id=100034170044014,가능한 외국어가 없습니다.,,불가능,불가능,불가능,"꿍팟퐁커리 18,000원 <br />소고기 쌀국수 12,000원 <br />팟타이 12,000원 <br />시리얼 새우 17,000원 <br />그린커리 12,500원<br />","야자수지붕 은 태국 왕실에서 인증한 요리 학교에서 교육 과정을 정식으로 수료 하였으며, 베트남 하노이 현지 유명 레스토랑과 파트너쉽을 체결 현지의 맛을 재현해 내는데 중점을 두고 있는 태국, 베트남 음식 전문점입니다.",지하철 1호선 중앙로역 3번 출구에서 도보로 약 533m 거리.,버스 정류장은 대구시동인청사건너 정류장이 가장 가깝습니다.
24,1790,대구광역시 중구 대안동 22,양식,노세콘도(Nosecondo),053-423-1678,12:00 ~ 21:00,32석,없음,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,불가능,"파빠르델레 파스타 21,000원<br />단호박 뇨끼 25,000원<br />멜란자네 12,000원<br />","No Secondo의 속과 본질은 antipasto, primo, secondo, dolce로 이루어진 이탈리아 정찬에서 과감히 secondo;세콘도를 제외하고 다양하고 합리적인 핸드메이트 파스타와 내추럴을 포함하는 다채로운 와인을 주재로 합니다.<br />",지하철 1호선 중앙로역 3번 출구에서 도보로 약 386m,버스 정류장은 대구콘서트하우스건너 정류장이 가장 가깝습니다.
25,1789,대구광역시 중구 동인동4가 176-1,전통차/커피전문점,카페로건,053-216-1674,"07:30 ~ 17:00 (토,공휴일 09:00 ~ 15:00)",8석,인근공영주차장이용,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,불가능,"로건 라떼 4,500원<br />아메리카노 3,500원<br />자두에이드 4,500원",카페로건 은 품질 좋은 원두만 사용한 커피와 디저트가 맛있는 카페입니다.,지하철 2호선 경대병원역 4번 출구 도보로 약 896m 거리.,버스 정류장은 중구청건너 정류장이 가장 가깝습니다.
26,1788,대구광역시 중구 남성로 111,전통차/커피전문점,리시트2,010-****-5505,09:00 ~ 21:00 (주말 10:00 ~ 21:00),28석,없음,없음,영어 ,가능,불가능,불가능,불가능,"리시트커피 4,500원<br />너티크림라떼 5,500원<br />크로와상 샌드위치 7,200원<br />",리시트 는 직접 로스팅한 원두를 사용해 진하고 고소한 에스프레소가 인상적인 카페입니다.,"지하털 1,2호선 반월당역 18번 출구에서 도보로 약 248m 거리.",버스 정류장은 약령시입구 정류장이 가장 가깝습니다.
27,1787,대구광역시 중구 남산동 938-9,한식,남산면,053-568-9090,11:00 ~ 21:00,56석(룸4),없음,없음,영어 ,가능,불가능,불가능,가능,"매생이 굴국밥 9,500원<br />매생이 칼국수 9,000원<br />매생이 굴전 18,000원<br />","우리 몸에 좋은 매생이, 생굴 중심으로 질 좋은 식재료를 음식의 재료로 사용하는 것을 고집하며 30년 노하우를 살려 청결, 친절하게 맛있는 음식을 제공하고자 노력하는 업소입니다. 오래된 한옥을 개조하여 가정집 분위기를 느낄 수 있는 인테리어로 한끼 식사를 하는 동안에도 편안함을 느낄 수 있습니다.<br />","지하철 1,2호선 반월당역 20번 출구에서 도보로 약 128m 거리.",버스 정류장은 현대백화점.동아쇼핑건너 정류장이 가장 가깝습니다.
28,1786,대구광역시 중구 봉산동 225-5,디저트/베이커리,카이스샌드위치샵,010-****-3774,08:00 ~ 17:30,44석,없음,instagram.com/kais_sandwichshop,영어 일본어 ,가능,불가능,불가능,불가능,"루벤 샌드위치 8,500원 <br />에그인헬 13,000원 <br />프렌치 토스트 17,000원 <br />아메리카노 4,500원<br />","카이스샌드위치샵은 항상 좋은 재료와 정성을 가득 담아 음식을 만들고 있으며, 다른 브런치카페에서는 맛 볼 수 없는 고퀄리티의 맛을 추구합니다. <br />","지하철 1,2호선 반월당역 9번 출구 도보로 약 332m 거리.",버스 정류장은 봉산가구골목(서편) 정류장이 가장 가깝습니다.
29,1785,대구광역시 중구 공평동 1-1,양식,오일리버거,053-213-0512,"11:00 ~ 21:00 (금,토 11:00 ~ 22:00)",18석,"공영주차장,가까운유료주차장이용",www.instagram.com/oilyburger/,가능한 외국어가 없습니다.,가능,불가능,불가능,불가능,"오일리버거 8,000원<br />쉬림프버거 8,500원<br />트로피컬버거 8,500원<br />에그해쉬버거 9,000원",오일리버거 는 빠르고 간편한 패스트푸드의 본질은 유지하면서 신선한 식재료들만으로 구성하여 안심하고 먹을 수 있는 건강한 프리미엄 수제버거 전문점입니다.,지하철 1호선 중앙로역 3번 출구에서 도보로 약 452m 거리.,버스 정류장은 2.28기념중앙공원건너2 정류장이 가장 가깝습니다.
30,1784,대구광역시 중구 공평동 72-5,디저트/베이커리,팜테이블,053- 256-7436,11:00 ~ 22:00,46석,없음,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,불가능,"수플레 팬케이크 13,000원<br />크림브륄레팬케이크 17,000원<br />더치베이비 12,000원<br />",팜테이블 은 여러 가지의 팬케이크를 한국식으로 풀어낸 한국 최초의 팬케이크 전문점입니다.,지하철 1호선 중앙로역 2번 출구에서 약 678m 거리.,버스 정류장은 2.28기념중앙공원앞 정류장이 가장 가깝습니다.
31,1783,대구광역시 중구 공평동 10-2,한식,동아식당,010-****-1017,11:30 ~ 21:00,12석,없음(유료주차장),www.instagram.com/dongah__,가능한 외국어가 없습니다.,불가,불가능,불가능,불가능,"계란김밥 8,000원 <br />차돌깻잎국수 12,000원 <br />들기름 국수 11,000원 <br />제육볶음밥 10,000원<br />",동아식당은 익숙함을 바라보는 새로운 관점이라는 메시지 아래에서 경상도의 지역성과 계절성을 이곳만의 시각으로 퓨전 한식을 담고 있습니다.,지하철 1호선 중앙로역 3번 출구에서 도보로 약 481m 거리.,버스 정류장은 대구시동인청사건너 정류장이 가장 가깝습니다.
32,1732,대구광역시 중구 동인동2가 61-10,한식,모두국밥,0507-1308-1567,07:00 ~ 21:00,48석(룸1개),없음,없음,가능한 외국어가 없습니다.,가능,불가능,가능,가능,"순대국 8,000원 <br />뼈해장국 8,000원 <br />순대정식 11,000원<br />",모두국밥 은 한국인의 입맛에 맞춘 푸짐한 한 끼의 국밥을 남녀노소 모두 좋아할 수 있는 브랜드로 발전 시켜온 국밥 전문점입니다.,지하철 1호선 칠성시장역 3번 출구에서 도보로 약 738m 거리.,버스 정류장은 동인치안센터건너 정류장이 가장 가깝습니다.
33,1694,대구광역시 중구 삼덕동2가 219-1,한식,송림식당,053-424-3838,11:00 ~ 20:30,80석,9대,없음,영어 ,가능,불가능,불가능,가능,"복어매운탕/지리 9,000원<br />밀복매운탕/지리 12,000원<br />복어수육 45,000원<br />모듬회 20,000원<br />껍질무침 15,000원",송림복어 는 50년 이상 전통의 복어 요리 전문점입니다.,지하철 2호선 경대벽원역 4번 출구에서 도보로 약 232m 거리.,버스 정류장은 경북대학교병원앞 정류장이 가장 가깝습니다.
34,1688,대구광역시 중구 동성로2가 70-1,한식,중앙떡볶이,053-424-7692,11:30 ~ 18:00 (브레이크타임 15:30~17:30),50석,없음(인근유료주차장이용),없음,가능한 외국어가 없습니다.,불가능,불가능,불가능,불가능,"쌀떡볶이+납작만두 (섞어 1인분) 4,500원 <br />쌀떡볶이 4,500원 <br />납작만두 4,500원 <br />순대 4,500원<br />",30년 이상 한 자리를 지켜온 동성로의 명물 박석규 중앙떡볶이 쌀로 만든 떡볶이와 납작만두가 별미인 분식점입니다.,지하철 1호선 중앙로역 2번 출구에서 도보로 약 365m,버스 정류장은 2.28기념중앙공원앞 정류장이 가장 가깝습니다.
35,1661,대구광역시 중구 대봉동 31-67,양식,가스트로락(Gastro락),053-281-5959,11:30 ~ 22:30 (브레이크 타임 15:00 ~ 18:00),24석,김광석거리공용주차장이용또는대동철공소옆공간,없음,영어 ,가능,불가능,불가능,가능,"런치코스 36,000원 ~ 39,000원<br />디너코스 59,000원 ~ 69,000원<br />",가스트로락은 유러피언 코스요리를 선보이고 있으며 1인 레스토랑 운영으로 퀄리티 높은 음식을 가성비 좋게 즐길 수 있습니다.<br />,지하철 2호선 경대병원역  3번 출구에서 도보로 약 544m 거리.,버스 정류장은 방천시장(김광석길)앞 정류장이 가장 가깝습니다.
36,1648,대구광역시 중구 삼덕동1가 14-3,세계요리,차이,053-254-3965,12:00 ~ 22:00 (브레이크타임 15:30 ~ 17:00),26석,없음(인근유료주차장이용),instagram.com/chai_daegu,가능한 외국어가 없습니다.,가능,불가능,불가능,불가능,"팟타이 15,000원<br />아시안슈림프라이스 17,000원<br />팟씨유(치킨) 15,000원 <br />로제 가츠돈 14,000원 <br />",차이 는 미들급 다이닝을 지향하는 태국 요리 및 일본 요리 등 아시안 퓨전 음식 전문점입니다.,"지하철 1호선, 2호선 반월당역 10번 출구에서 도보로 약 323m 거리.",버스 정류장은 2호선반월당역1 정류장이 가장 가깝습니다.
37,1647,대구광역시 중구 종로2가 1,일식,종로횟집,053-252-5858,11:00~01:00 (브레이크 타임 14:30~16:30),100석,없음(인근유료주차장이용),없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"모듬회(소) 55,000원 <br />방어회(소) 70,000원 <br />물회 17,000원<br /><br />","종로횟집 은 신선한 해산물과 회, 물회가 유명한 이자카야 횟집입니다.",지하철 1호선 중앙로역 1번 출구에서 도보로 약 231m 거리.,버스 정류장은 만경관건너 정류장이 가장 가깝습니다.
38,1627,대구광역시 중구 남성로 102-1,일식,스시준,053-219-1916,11:30 ~ 21:00 (브레이크 타임 15:00 ~ 16:30),17석,없음,없음,가능한 외국어가 없습니다.,불가능,불가능,불가능,불가능,"스시준스시A 17,000원 <br />스시준스시B 17,000원 <br />연어세트 17,000원<br /><br />",스시준 은 연어초밥으로 유명한 초밥 전문점입니다.,"지하철 1호선, 2호선 반월당역 17번 출구에서 도보로 약 160m 거리.",버스 정류장은 약령시입구 정류장이 가장 가깝습니다.
39,1626,대구광역시 중구 종로2가 90,한식,미조찜.탕,053-257-1353,10:00 ~ 21:00,60석(룸5),없음,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"동태탕 9,000원<br />가오리찜 25,000원 ~ 35,000원<br />부추전 8,000원",미조찜.탕은 동태탕과 각종 찜 종류가 유명한 탕.찜 전문점입니다.,"지하철 1호선, 2호선 반월당역 15번 출구에서 도보로 약 184m 거리",버스 정류장은 약령시건너(동성로입구) 정류장이 가장 가깝습니다.
40,1624,대구광역시 중구 남산동 2111-4,한식,세연전통콩국,053-257-9915,10:00 ~ 03:00,68석,없음(공영주차장유료),blog.naver.com/emailforyou,영어 중국어 ,불가,불가능,불가능,불가능,"콩국 5,000원<br />돈까스 8,000원<br />잔치국수 5,000원<br />검은콩국수 7,500원<br />옛날토스트 3,500원",20년 전통을 자랑하는 세연전통콩국 은 건강한 음식을 저렴하게 맛볼 수 있는 음식점입니다.,"지하철 1호선, 3호선 명덕역 1번 출구에서 도보로 약 126m 거리.",버스 정류장은 명덕초등학교앞 정류장이 가장 가깝습니다.
41,1623,대구광역시 중구 남산동 939-1,한식,정담(정성을 담은),053-253-5263,11:00 ~ 21:00,64석(룸3),없음,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"정담정식 15,000원<br />정담소불고기 정식 18,000원<br />돼지갈비찜 30,000원<br />",정담 은 정성을 담은 음식을 대접하고 싶은 오너 셰프의 마음이 담긴 우리 고유의 전통 방식으로 음식을 조리하는 한정식 전문점입니다.,"지하철 1호선, 2호선 반월당역 19번 출구에서 도보로 약 164m 거리.",버스 정류장은 현대백화점.동화백화점건너 정류장이 가장 가깝습니다.
42,1622,대구광역시 중구 종로2가 2-2,한식,미금수뿔,010-****-2854,16:00 ~ 02:00,50석,없음(인근유료주차장이용),없음,영어 일본어 중국어 ,가능,불가능,불가능,불가능,"미식가용 삼겹살 9,800원 <br />항정살 9,800원 <br />가브리살 9,800원 <br />삼겹살 9,500원<br />",미금수뿔 은 돼지고기 전문점으로 최상의 품질인 고기만 엄선하여 판매하고 있는 음식점입니다.,"지하철은 1호선, 2호선 반월당역 15번 출구에서 약 252m 거리.",버스 정류장은 만경관건너 정류장이 가장 가깝습니다.
43,1621,대구광역시 중구 남성로 103-2 A동 1층,한식,거송갈비찜,053-424-3335,11:00~21:00 (브레이크타임 16:00~17:00),18석,없음(인근유료주차장이용),없음,영어 일본어 중국어 ,가능,불가능,불가능,가능,"돼지갈비찜 13,000원<br />소갈비찜 20,000원<br />마라돼지갈비찜 15,000원<br />",거송갈비찜은 엄선된 질 좋은 돼지고기 립을 대구 약전골목 전통한방 약재를 넣어 숙성시킨 후 비법 소스를 듬뿍 넣어 부드럽고 매콤하게 만든 갈비찜 전문점입니다.,"지하철 1호선, 2호선 반월당역 17번 출구에서 도보로 약 201m 거리.",버스 정류장은 약령시입구 정류장이 가장 가깝습니다.
44,1620,대구광역시 중구 남산동 253-1,중식,유창반점,053-254-7297,11:00 ~ 19:30,67석,없음(인근유료주차장이용),없음,중국어 ,불가,불가능,불가능,불가능,"중화비빔밥 9,000원 <br />중화비빔면 9,000원 <br />짬뽕 8,500원 <br />탕수육 12,000원 ~ 28,000원<br />",유창반점 은 중구 남산동에 위치한 짬뽕과 중화비빔밥이 유명한 중국집입니다.,"지하철 1호선, 2호선 반월당역 19번 출구에서 도보로 약 364m 거리.",버스 정류장은 남산2동주민센터건너 정류장이 가장 가깝습니다.
